Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;97;85;109;100,0;30;30;0;97;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;97;85;109;100,0;30;30;0;97;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;63;55;71;100,0;30;30;0;63;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;160;141;179;100,0;30;30;0;160;0,0;Totalt;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;43;38;48;100,0;31;31;0;43;0,0;1;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;70;62;78;100,0;31;31;0;70;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;70;62;78;100,0;31;31;0;70;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;43;38;48;100,0;31;31;0;43;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;114;101;127;100,0;31;31;0;114;0,0;Totalt;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;55;47;63;100,0;31;31;0;55;0,0;1;-;-;-;-;-;-;-;-
